"Year","Area_type","Area_code","Area_description","Maori_descent_code","Maori_descent_description","Census_usually_resident_population_count","Maori_descent_indicator_percent"
2018,"Regional Council","08","Manawatu-Wanganui Region","2","No Maori descent","171189"," 71.7"
2018,"Regional Council","08","Manawatu-Wanganui Region","4","Don't know","7404","  3.1"
2018,"Regional Council","08","Manawatu-Wanganui Region","7","Response unidentifiable","0",".."
2018,"Regional Council","08","Manawatu-Wanganui Region","9","Not stated","0",".."
2018,"Regional Council","08","Manawatu-Wanganui Region","Total","Total","238797",".."
2018,"Regional Council","08","Manawatu-Wanganui Region","Total stated","Total stated","238797","100.0"
2018,"Regional Council","09","Wellington Region","1","Maori descent","80844"," 16.0"
2018,"Regional Council","09","Wellington Region","2","No Maori descent","414765"," 81.8"
2018,"Regional Council","09","Wellington Region","4","Don't know","11205","  2.2"
2018,"Regional Council","09","Wellington Region","7","Response unidentifiable","0",".."
2018,"Regional Council","09","Wellington Region","9","Not stated","0",".."
2018,"Regional Council","09","Wellington Region","Total","Total","506814",".."
2018,"Regional Council","09","Wellington Region","Total stated","Total stated","506814","100.0"
2018,"Regional Council","12","West Coast Region","1","Maori descent","4296"," 13.6"
2018,"Regional Council","12","West Coast Region","2","No Maori descent","26151"," 82.8"
2018,"Regional Council","12","West Coast Region","4","Don't know","1128","  3.6"
2018,"Regional Council","12","West Coast Region","7","Response unidentifiable","0",".."
2018,"Regional Council","12","West Coast Region","9","Not stated","0",".."
2018,"Regional Council","12","West Coast Region","Total","Total","31575",".."
2018,"Regional Council","12","West Coast Region","Total stated","Total stated","31575","100.0"
2018,"Regional Council","13","Canterbury Region","1","Maori descent","66576"," 11.1"
2018,"Regional Council","13","Canterbury Region","2","No Maori descent","517401"," 86.3"
2018,"Regional Council","13","Canterbury Region","4","Don't know","15717","  2.6"
2018,"Regional Council","13","Canterbury Region","7","Response unidentifiable","0",".."
2018,"Regional Council","13","Canterbury Region","9","Not stated","0",".."
2018,"Regional Council","13","Canterbury Region","Total","Total","599694",".."
2018,"Regional Council","13","Canterbury Region","Total stated","Total stated","599694","100.0"
2018,"Regional Council","14","Otago Region","1","Maori descent","23601"," 10.5"
2018,"Regional Council","14","Otago Region","2","No Maori descent","195294"," 86.7"
2018,"Regional Council","14","Otago Region","4","Don't know","6291","  2.8"
2018,"Regional Council","14","Otago Region","7","Response unidentifiable","0",".."
2018,"Regional Council","14","Otago Region","9","Not stated","0",".."
2018,"Regional Council","14","Otago Region","Total","Total","225186",".."
2018,"Regional Council","14","Otago Region","Total stated","Total stated","225186","100.0"
2018,"Regional Council","15","Southland Region","1","Maori descent","17310"," 17.8"
2018,"Regional Council","15","Southland Region","2","No Maori descent","76473"," 78.5"
2018,"Regional Council","15","Southland Region","4","Don't know","3684","  3.8"
2018,"Regional Council","15","Southland Region","7","Response unidentifiable","0",".."
2018,"Regional Council","15","Southland Region","9","Not stated","0",".."
2018,"Regional Council","15","Southland Region","Total","Total","97467",".."
2018,"Regional Council","15","Southland Region","Total stated","Total stated","97467","100.0"
2018,"Regional Council","16","Tasman Region","1","Maori descent","5589"," 10.7"
2018,"Regional Council","16","Tasman Region","2","No Maori descent","45471"," 86.8"
2018,"Regional Council","16","Tasman Region","4","Don't know","1329","  2.5"
2018,"Regional Council","16","Tasman Region","7","Response unidentifiable","0",".."
2018,"Regional Council","16","Tasman Region","9","Not stated","0",".."
2018,"Regional Council","16","Tasman Region","Total","Total","52389",".."
2018,"Regional Council","16","Tasman Region","Total stated","Total stated","52389","100.0"
2018,"Regional Council","17","Nelson Region","1","Maori descent","6336"," 12.5"
2018,"Regional Council","17","Nelson Region","2","No Maori descent","43167"," 84.8"
2018,"Regional Council","17","Nelson Region","4","Don't know","1377","  2.7"
2018,"Regional Council","17","Nelson Region","7","Response unidentifiable","0",".."
2018,"Regional Council","17","Nelson Region","9","Not stated","0",".."
2018,"Regional Council","17","Nelson Region","Total","Total","50880",".."
2018,"Regional Council","17","Nelson Region","Total stated","Total stated","50880","100.0"
2018,"Regional Council","18","Marlborough Region","1","Maori descent","7341"," 15.5"
2018,"Regional Council","18","Marlborough Region","2","No Maori descent","38583"," 81.5"
2018,"Regional Council","18","Marlborough Region","4","Don't know","1416","  3.0"
2018,"Regional Council","18","Marlborough Region","7","Response unidentifiable","0",".."
2018,"Regional Council","18","Marlborough Region","9","Not stated","0",".."
2018,"Regional Council","18","Marlborough Region","Total","Total","47340",".."
2018,"Regional Council","18","Marlborough Region","Total stated","Total stated","47340","100.0"
2018,"Regional Council","99","Area Outside Region","1","Maori descent","432"," 64.6"
2018,"Regional Council","99","Area Outside Region","2","No Maori descent","210"," 31.4"
2018,"Regional Council","99","Area Outside Region","4","Don't know","27","  4.0"
2018,"Regional Council","99","Area Outside Region","7","Response unidentifiable","0",".."
2018,"Regional Council","99","Area Outside Region","9","Not stated","0",".."
2018,"Regional Council","99","Area Outside Region","Total","Total","669",".."
2018,"Regional Council","99","Area Outside Region","Total stated","Total stated","669","100.0"
2018,"Regional Council","Total","Total","1","Maori descent","869850"," 18.5"
2018,"Regional Council","Total","Total","2","No Maori descent","3715050"," 79.0"
2018,"Regional Council","Total","Total","4","Don't know","114855","  2.4"
2018,"Regional Council","Total","Total","7","Response unidentifiable","0",".."
2018,"Regional Council","Total","Total","9","Not stated","0",".."
2018,"Regional Council","Total","Total","Total","Total","4699755",".."
2018,"Regional Council","Total","Total","Total stated","Total stated","4699755","100.0"
2018,"Statistical Area 2","100100","North Cape","1","Maori descent","984"," 61.4"
2018,"Statistical Area 2","100100","North Cape","2","No Maori descent","585"," 36.5"
2018,"Statistical Area 2","100100","North Cape","4","Don't know","30","  1.9"
2018,"Statistical Area 2","100100","North Cape","7","Response unidentifiable","0",".."
2018,"Statistical Area 2","100100","North Cape","9","Not stated","0",".."
2018,"Statistical Area 2","100100","North Cape","Total","Total","1602",".."
2018,"Statistical Area 2","100100","North Cape","Total stated","Total stated","1602","100.0"
2018,"Statistical Area 2","100200","Rangaunu Harbour","1","Maori descent","1449"," 62.7"
2018,"Statistical Area 2","100200","Rangaunu Harbour","2","No Maori descent","789"," 34.2"
2018,"Statistical Area 2","100200","Rangaunu Harbour","4","Don't know","69","  3.0"
2018,"Statistical Area 2","100200","Rangaunu Harbour","7","Response unidentifiable","0",".."
2018,"Statistical Area 2","100200","Rangaunu Harbour","9","Not stated","0",".."
2018,"Statistical Area 2","100200","Rangaunu Harbour","Total","Total","2310",".."
2018,"Statistical Area 2","100200","Rangaunu Harbour","Total stated","Total stated","2310","100.0"
2018,"Statistical Area 2","100300","Inlets Far North District","1","Maori descent","3","  6.7"
2018,"Statistical Area 2","100300","Inlets Far North District","2","No Maori descent","42"," 93.3"
2018,"Statistical Area 2","100300","Inlets Far North District","4","Don't know","0","  0.0"
2018,"Statistical Area 2","100300","Inlets Far North District","7","Response unidentifiable","0",".."
2018,"Statistical Area 2","100300","Inlets Far North District","9","Not stated","0",".."
2018,"Statistical Area 2","100300","Inlets Far North District","Total","Total","45",".."
2018,"Statistical Area 2","100300","Inlets Far North District","Total stated","Total stated","45","100.0"
2018,"Statistical Area 2","100400","Karikari Peninsula","1","Maori descent","588"," 47.0"
2018,"Statistical Area 2","100400","Karikari Peninsula","2","No Maori descent","633"," 50.6"
2018,"Statistical Area 2","100400","Karikari Peninsula","4","Don't know","30","  2.4"
2018,"Statistical Area 2","100400","Karikari Peninsula","7","Response unidentifiable","0",".."
2018,"Statistical Area 2","100400","Karikari Peninsula","9","Not stated","0",".."
2018,"Statistical Area 2","100400","Karikari Peninsula","Total","Total","1251",".."
2018,"Statistical Area 2","100400","Karikari Peninsula","Total stated","Total stated","1251","100.0"
2018,"Statistical Area 2","100500","Tangonge","1","Maori descent","705"," 62.2"
2018,"Statistical Area 2","100500","Tangonge","2","No Maori descent","411"," 36.2"
2018,"Statistical Area 2","100500","Tangonge","4","Don't know","18","  1.6"
2018,"Statistical Area 2","100500","Tangonge","7","Response unidentifiable","0",".."
2018,"Statistical Area 2","100500","Tangonge","9","Not stated","0",".."
2018,"Statistical Area 2","100500","Tangonge","Total","Total","1134",".."
2018,"Statistical Area 2","100500","Tangonge","Total stated","Total stated","1134","100.0"
2018,"Statistical Area 2","100600","Ahipara","1","Maori descent","780"," 63.4"
2018,"Statistical Area 2","100600","Ahipara","2","No Maori descent","426"," 34.6"
2018,"Statistical Area 2","100600","Ahipara","4","Don't know","27","  2.2"
2018,"Statistical Area 2","100600","Ahipara","7","Response unidentifiable","0",".."
2018,"Statistical Area 2","100600","Ahipara","9","Not stated","0",".."
2018,"Statistical Area 2","100600","Ahipara","Total","Total","1230",".."
2018,"Statistical Area 2","100600","Ahipara","Total stated","Total stated","1230","100.0"
2018,"Statistical Area 2","100700","Kaitaia East","1","Maori descent","1647"," 69.0"
2018,"Statistical Area 2","100700","Kaitaia East","2","No Maori descent","663"," 27.8"
2018,"Statistical Area 2","100700","Kaitaia East","4","Don't know","78","  3.3"
2018,"Statistical Area 2","100700","Kaitaia East","7","Response unidentifiable","0",".."
2018,"Statistical Area 2","100700","Kaitaia East","9","Not stated","0",".."
2018,"Statistical Area 2","100700","Kaitaia East","Total","Total","2388",".."
2018,"Statistical Area 2","100700","Kaitaia East","Total stated","Total stated","2388","100.0"
2018,"Statistical Area 2","100800","Kaitaia West","1","Maori descent","2331"," 66.9"
2018,"Statistical Area 2","100800","Kaitaia West","2","No Maori descent","1038"," 29.8"
2018,"Statistical Area 2","100800","Kaitaia West","4","Don't know","111","  3.2"
2018,"Statistical Area 2","100800","Kaitaia West","7","Response unidentifiable","0",".."
2018,"Statistical Area 2","100800","Kaitaia West","9","Not stated","0",".."
2018,"Statistical Area 2","100800","Kaitaia West","Total","Total","3483",".."
2018,"Statistical Area 2","100800","Kaitaia West","Total stated","Total stated","3483","100.0"
2018,"Statistical Area 2","100900","Rangitihi","1","Maori descent","492"," 52.6"
2018,"Statistical Area 2","100900","Rangitihi","2","No Maori descent","408"," 43.6"
2018,"Statistical Area 2","100900","Rangitihi","4","Don't know","36","  3.8"
2018,"Statistical Area 2","100900","Rangitihi","7","Response unidentifiable","0",".."
2018,"Statistical Area 2","100900","Rangitihi","9","Not stated","0",".."
2018,"Statistical Area 2","100900","Rangitihi","Total","Total","936",".."
2018,"Statistical Area 2","100900","Rangitihi","Total stated","Total stated","936","100.0"
2018,"Statistical Area 2","101000","Oruru-Parapara","1","Maori descent","366"," 43.3"
2018,"Statistical Area 2","101000","Oruru-Parapara","2","No Maori descent","450"," 53.2"
2018,"Statistical Area 2","101000","Oruru-Parapara","4","Don't know","30","  3.5"
2018,"Statistical Area 2","101000","Oruru-Parapara","7","Response unidentifiable","0",".."
2018,"Statistical Area 2","101000","Oruru-Parapara","9","Not stated","0",".."
2018,"Statistical Area 2","101000","Oruru-Parapara","Total","Total","846",".."
2018,"Statistical Area 2","101000","Oruru-Parapara","Total stated","Total stated","846","100.0"
2018,"Statistical Area 2","101100","Taumarumaru","1","Maori descent","747"," 34.1"
2018,"Statistical Area 2","101100","Taumarumaru","2","No Maori descent","1404"," 64.0"
2018,"Statistical Area 2","101100","Taumarumaru","4","Don't know","42","  1.9"
2018,"Statistical Area 2","101100","Taumarumaru","7","Response unidentifiable","0",".."
2018,"Statistical Area 2","101100","Taumarumaru","9","Not stated","0",".."
2018,"Statistical Area 2","101100","Taumarumaru","Total","Total","2193",".."
2018,"Statistical Area 2","101100","Taumarumaru","Total stated","Total stated","2193","100.0"
2018,"Statistical Area 2","101200","Herekino-Takahue","1","Maori descent","534"," 55.5"
2018,"Statistical Area 2","101200","Herekino-Takahue","2","No Maori descent","396"," 41.1"
2018,"Statistical Area 2","101200","Herekino-Takahue","4","Don't know","33","  3.4"
2018,"Statistical Area 2","101200","Herekino-Takahue","7","Response unidentifiable","0",".."
2018,"Statistical Area 2","101200","Herekino-Takahue","9","Not stated","0",".."
2018,"Statistical Area 2","101200","Herekino-Takahue","Total","Total","963",".."
2018,"Statistical Area 2","101200","Herekino-Takahue","Total stated","Total stated","963","100.0"
2018,"Statistical Area 2","101300","Peria","1","Maori descent","492"," 44.4"
2018,"Statistical Area 2","101300","Peria","2","No Maori descent","570"," 51.5"
2018,"Statistical Area 2","101300","Peria","4","Don't know","48","  4.3"
2018,"Statistical Area 2","101300","Peria","7","Response unidentifiable","0",".."
2018,"Statistical Area 2","101300","Peria","9","Not stated","0",".."
2018,"Statistical Area 2","101300","Peria","Total","Total","1107",".."
2018,"Statistical Area 2","101300","Peria","Total stated","Total stated","1107","100.0"
2018,"Statistical Area 2","101400","Taemaro-Oruaiti","1","Maori descent","366"," 42.2"
2018,"Statistical Area 2","101400","Taemaro-Oruaiti","2","No Maori descent","471"," 54.3"
2018,"Statistical Area 2","101400","Taemaro-Oruaiti","4","Don't know","33","  3.8"
2018,"Statistical Area 2","101400","Taemaro-Oruaiti","7","Response unidentifiable","0",".."
2018,"Statistical Area 2","101400","Taemaro-Oruaiti","9","Not stated","0",".."
2018,"Statistical Area 2","101400","Taemaro-Oruaiti","Total","Total","867",".."
2018,"Statistical Area 2","101400","Taemaro-Oruaiti","Total stated","Total stated","867","100.0"
2018,"Statistical Area 2","101500","Whakapaku","1","Maori descent","369"," 49.6"
2018,"Statistical Area 2","101500","Whakapaku","2","No Maori descent","360"," 48.4"
2018,"Statistical Area 2","101500","Whakapaku","4","Don't know","18","  2.4"
2018,"Statistical Area 2","101500","Whakapaku","7","Response unidentifiable","0",".."
2018,"Statistical Area 2","101500","Whakapaku","9","Not stated","0",".."
2018,"Statistical Area 2","101500","Whakapaku","Total","Total","744",".."
2018,"Statistical Area 2","101500","Whakapaku","Total stated","Total stated","744","100.0"
2018,"Statistical Area 2","101600","Hokianga North","1","Maori descent","699"," 87.9"
2018,"Statistical Area 2","101600","Hokianga North","2","No Maori descent","81"," 10.2"
2018,"Statistical Area 2","101600","Hokianga North","4","Don't know","15","  1.9"
2018,"Statistical Area 2","101600","Hokianga North","7","Response unidentifiable","0",".."
2018,"Statistical Area 2","101600","Hokianga North","9","Not stated","0",".."
2018,"Statistical Area 2","101600","Hokianga North","Total","Total","795",".."
2018,"Statistical Area 2","101600","Hokianga North","Total stated","Total stated","795","100.0"
2018,"Statistical Area 2","101700","Kohukohu-Broadwood","1","Maori descent","417"," 57.4"
2018,"Statistical Area 2","101700","Kohukohu-Broadwood","2","No Maori descent","282"," 38.8"
2018,"Statistical Area 2","101700","Kohukohu-Broadwood","4","Don't know","27","  3.7"
2018,"Statistical Area 2","101700","Kohukohu-Broadwood","7","Response unidentifiable","0",".."
2018,"Statistical Area 2","101700","Kohukohu-Broadwood","9","Not stated","0",".."
2018,"Statistical Area 2","101700","Kohukohu-Broadwood","Total","Total","726",".."
2018,"Statistical Area 2","101700","Kohukohu-Broadwood","Total stated","Total stated","726","100.0"
2018,"Statistical Area 2","101800","Whakarara","1","Maori descent","807"," 60.0"
2018,"Statistical Area 2","101800","Whakarara","2","No Maori descent","507"," 37.7"
2018,"Statistical Area 2","101800","Whakarara","4","Don't know","27","  2.0"
2018,"Statistical Area 2","101800","Whakarara","7","Response unidentifiable","0",".."
2018,"Statistical Area 2","101800","Whakarara","9","Not stated","0",".."
2018,"Statistical Area 2","101800","Whakarara","Total","Total","1344",".."
2018,"Statistical Area 2","101800","Whakarara","Total stated","Total stated","1344","100.0"
2018,"Statistical Area 2","101900","Kaeo","1","Maori descent","618"," 51.9"
2018,"Statistical Area 2","101900","Kaeo","2","No Maori descent","531"," 44.6"
2018,"Statistical Area 2","101900","Kaeo","4","Don't know","45","  3.8"
2018,"Statistical Area 2","101900","Kaeo","7","Response unidentifiable","0",".."
2018,"Statistical Area 2","101900","Kaeo","9","Not stated","0",".."
2018,"Statistical Area 2","101900","Kaeo","Total","Total","1191",".."
2018,"Statistical Area 2","101900","Kaeo","Total stated","Total stated","1191","100.0"
2018,"Statistical Area 2","102000","Omahuta Forest-Horeke","1","Maori descent","705"," 66.8"
2018,"Statistical Area 2","102000","Omahuta Forest-Horeke","2","No Maori descent","312"," 29.5"
2018,"Statistical Area 2","102000","Omahuta Forest-Horeke","4","Don't know","39","  3.7"
2018,"Statistical Area 2","102000","Omahuta Forest-Horeke","7","Response unidentifiable","0",".."
2018,"Statistical Area 2","102000","Omahuta Forest-Horeke","9","Not stated","0",".."
2018,"Statistical Area 2","102000","Omahuta Forest-Horeke","Total","Total","1056",".."
2018,"Statistical Area 2","102000","Omahuta Forest-Horeke","Total stated","Total stated","1056","100.0"
2018,"Statistical Area 2","102100","Hokianga South","1","Maori descent","804"," 65.0"
2018,"Statistical Area 2","102100","Hokianga South","2","No Maori descent","417"," 33.7"
2018,"Statistical Area 2","102100","Hokianga South","4","Don't know","15","  1.2"
2018,"Statistical Area 2","102100","Hokianga South","7","Response unidentifiable","0",".."
2018,"Statistical Area 2","102100","Hokianga South","9","Not stated","0",".."
2018,"Statistical Area 2","102100","Hokianga South","Total","Total","1236",".."
2018,"Statistical Area 2","102100","Hokianga South","Total stated","Total stated","1236","100.0"
2018,"Statistical Area 2","102200","Lake Manuwai-Kapiro","1","Maori descent","408"," 19.1"
2018,"Statistical Area 2","102200","Lake Manuwai-Kapiro","2","No Maori descent","1668"," 78.2"
2018,"Statistical Area 2","102200","Lake Manuwai-Kapiro","4","Don't know","60","  2.8"
2018,"Statistical Area 2","102200","Lake Manuwai-Kapiro","7","Response unidentifiable","0",".."
2018,"Statistical Area 2","102200","Lake Manuwai-Kapiro","9","Not stated","0",".."
2018,"Statistical Area 2","102200","Lake Manuwai-Kapiro","Total","Total","2133",".."
2018,"Statistical Area 2","102200","Lake Manuwai-Kapiro","Total stated","Total stated","2133","100.0"
2018,"Statistical Area 2","102300","Okaihau","1","Maori descent","522"," 42.2"
2018,"Statistical Area 2","102300","Okaihau","2","No Maori descent","675"," 54.6"
2018,"Statistical Area 2","102300","Okaihau","4","Don't know","39","  3.2"
2018,"Statistical Area 2","102300","Okaihau","7","Response unidentifiable","0",".."
2018,"Statistical Area 2","102300","Okaihau","9","Not stated","0",".."
2018,"Statistical Area 2","102300","Okaihau","Total","Total","1236",".."
2018,"Statistical Area 2","102300","Okaihau","Total stated","Total stated","1236","100.0"
2018,"Statistical Area 2","102400","Rangitane-Purerua","1","Maori descent","498"," 33.1"
2018,"Statistical Area 2","102400","Rangitane-Purerua","2","No Maori descent","963"," 63.9"
2018,"Statistical Area 2","102400","Rangitane-Purerua","4","Don't know","45","  3.0"
2018,"Statistical Area 2","102400","Rangitane-Purerua","7","Response unidentifiable","0",".."
2018,"Statistical Area 2","102400","Rangitane-Purerua","9","Not stated","0",".."
2018,"Statistical Area 2","102400","Rangitane-Purerua","Total","Total","1506",".."
2018,"Statistical Area 2","102400","Rangitane-Purerua","Total stated","Total stated","1506","100.0"
2018,"Statistical Area 2","102500","Waipapa","1","Maori descent","240"," 27.6"
2018,"Statistical Area 2","102500","Waipapa","2","No Maori descent","609"," 70.0"
2018,"Statistical Area 2","102500","Waipapa","4","Don't know","21","  2.4"
2018,"Statistical Area 2","102500","Waipapa","7","Response unidentifiable","0",".."
2018,"Statistical Area 2","102500","Waipapa","9","Not stated","0",".."
2018,"Statistical Area 2","102500","Waipapa","Total","Total","870",".."
2018,"Statistical Area 2","102500","Waipapa","Total stated","Total stated","870","100.0"
2018,"Statistical Area 2","102600","Puketotara","1","Maori descent","324"," 19.3"
2018,"Statistical Area 2","102600","Puketotara","2","No Maori descent","1293"," 77.1"
2018,"Statistical Area 2","102600","Puketotara","4","Don't know","60","  3.6"
2018,"Statistical Area 2","102600","Puketotara","7","Response unidentifiable","0",".."
2018,"Statistical Area 2","102600","Puketotara","9","Not stated","0",".."
2018,"Statistical Area 2","102600","Puketotara","Total","Total","1677",".."
2018,"Statistical Area 2","102600","Puketotara","Total stated","Total stated","1677","100.0"
2018,"Statistical Area 2","102700","Waima Forest","1","Maori descent","891"," 81.4"
2018,"Statistical Area 2","102700","Waima Forest","2","No Maori descent","180"," 16.4"
2018,"Statistical Area 2","102700","Waima Forest","4","Don't know","24","  2.2"
2018,"Statistical Area 2","102700","Waima Forest","7","Response unidentifiable","0",".."
2018,"Statistical Area 2","102700","Waima Forest","9","Not stated","0",".."
2018,"Statistical Area 2","102700","Waima Forest","Total","Total","1095",".."
2018,"Statistical Area 2","102700","Waima Forest","Total stated","Total stated","1095","100.0"
2018,"Statistical Area 2","102800","Riverview","1","Maori descent","360"," 17.1"
2018,"Statistical Area 2","102800","Riverview","2","No Maori descent","1710"," 81.1"
2018,"Statistical Area 2","102800","Riverview","4","Don't know","39","  1.8"
2018,"Statistical Area 2","102800","Riverview","7","Response unidentifiable","0",".."
2018,"Statistical Area 2","102800","Riverview","9","Not stated","0",".."
2018,"Statistical Area 2","102800","Riverview","Total","Total","2109",".."
2018,"Statistical Area 2","102800","Riverview","Total stated","Total stated","2109","100.0"
2018,"Statistical Area 2","102900","Waipoua Forest","1","Maori descent","726"," 59.8"
2018,"Statistical Area 2","102900","Waipoua Forest","2","No Maori descent","456"," 37.5"
2018,"Statistical Area 2","102900","Waipoua Forest","4","Don't know","30","  2.5"
2018,"Statistical Area 2","102900","Waipoua Forest","7","Response unidentifiable","0",".."
2018,"Statistical Area 2","102900","Waipoua Forest","9","Not stated","0",".."
2018,"Statistical Area 2","102900","Waipoua Forest","Total","Total","1215",".."
2018,"Statistical Area 2","102900","Waipoua Forest","Total stated","Total stated","1215","100.0"
2018,"Statistical Area 2","103000","Kerikeri Central","1","Maori descent","627"," 25.1"
2018,"Statistical Area 2","103000","Kerikeri Central","2","No Maori descent","1806"," 72.2"
2018,"Statistical Area 2","103000","Kerikeri Central","4","Don't know","66","  2.6"
2018,"Statistical Area 2","103000","Kerikeri Central","7","Response unidentifiable","0",".."
2018,"Statistical Area 2","103000","Kerikeri Central","9","Not stated","0",".."
2018,"Statistical Area 2","103000","Kerikeri Central","Total","Total","2502",".."
2018,"Statistical Area 2","103000","Kerikeri Central","Total stated","Total stated","2502","100.0"
2018,"Statistical Area 2","103100","Kerikeri South","1","Maori descent","423"," 16.6"
2018,"Statistical Area 2","103100","Kerikeri South","2","No Maori descent","2082"," 81.6"
2018,"Statistical Area 2","103100","Kerikeri South","4","Don't know","51","  2.0"
2018,"Statistical Area 2","103100","Kerikeri South","7","Response unidentifiable","0",".."
2018,"Statistical Area 2","103100","Kerikeri South","9","Not stated","0",".."
2018,"Statistical Area 2","103100","Kerikeri South","Total","Total","2553",".."
2018,"Statistical Area 2","103100","Kerikeri South","Total stated","Total stated","2553","100.0"
2018,"Statistical Area 2","103200","Ohaeawai-Waimate North","1","Maori descent","516"," 45.3"
2018,"Statistical Area 2","103200","Ohaeawai-Waimate North","2","No Maori descent","591"," 51.8"
2018,"Statistical Area 2","103200","Ohaeawai-Waimate North","4","Don't know","33","  2.9"
2018,"Statistical Area 2","103200","Ohaeawai-Waimate North","7","Response unidentifiable","0",".."
2018,"Statistical Area 2","103200","Ohaeawai-Waimate North","9","Not stated","0",".."
2018,"Statistical Area 2","103200","Ohaeawai-Waimate North","Total","Total","1140",".."
2018,"Statistical Area 2","103200","Ohaeawai-Waimate North","Total stated","Total stated","1140","100.0"
2018,"Statistical Area 2","103300","Puketona-Waitangi","1","Maori descent","369"," 27.6"
2018,"Statistical Area 2","103300","Puketona-Waitangi","2","No Maori descent","930"," 69.7"
2018,"Statistical Area 2","103300","Puketona-Waitangi","4","Don't know","36","  2.7"
2018,"Statistical Area 2","103300","Puketona-Waitangi","7","Response unidentifiable","0",".."
2018,"Statistical Area 2","103300","Puketona-Waitangi","9","Not stated","0",".."
2018,"Statistical Area 2","103300","Puketona-Waitangi","Total","Total","1335",".."
2018,"Statistical Area 2","103300","Puketona-Waitangi","Total stated","Total stated","1335","100.0"
2018,"Statistical Area 2","103400","Ngapuhi","1","Maori descent","1311"," 73.0"
2018,"Statistical Area 2","103400","Ngapuhi","2","No Maori descent","444"," 24.7"
2018,"Statistical Area 2","103400","Ngapuhi","4","Don't know","45","  2.5"
